"IAF" "IV" "DW"
"IPR003350" 13.3080191232499 0.25 3.32700478081248
"IPR022724" 14.9922872943264 1 14.9922872943264
"IPR025668" 14.3901782280808 0.5 7.19508911404042
"IPR004305" 12.7875968747235 0.333333333333333 4.26253229157448
"IPR006571" 13.0666147333876 0.0256410256410256 0.335041403420196
"IPR013810" 10.9623287558037 0.142857142857143 1.56604696511482
"IPR012001" 10.3377077644267 0.032258064516129 0.333474444013766
"IPR008283" 12.6392354198318 0.25 3.15980885495795
"IPR003596" 11.7582619538018 0.125 1.46978274422523
"IPR017565" 15.3578173563681 0.333333333333333 5.11927245212268
"IPR000066" 14.4246776013298 1 14.4246776013298
"IPR016058" 22.4373021401949 1 22.4373021401949
"IPR008889" 15.5516057668555 0.2 3.11032115337109
"IPR004614" 12.6489916364939 1 12.6489916364939
"IPR003099" 11.421538652825 0.111111111111111 1.26905985031389
"IPR025019" 17.6044121260301 1 17.6044121260301
"IPR022202" 16.355153098841 0.5 8.1775765494205
"IPR015232" 15.2108899474061 0.333333333333333 5.07029664913536
"IPR001002" 11.1066653154716 0.0208333333333333 0.231388860738991
"IPR018931" 13.7737440359776 0.333333333333333 4.59124801199253
"IPR025610" 15.2157150189301 0.2 3.04314300378601
"IPR015337" 19.3498392989445 1 19.3498392989445
"IPR015858" 15.9902189139852 1 15.9902189139852
"IPR021199" 21.6299472181373 1 21.6299472181373
"IPR015399" 15.6559424266702 0.25 3.91398560666755
"IPR022679" 18.0797501355768 0.5 9.03987506778839
"IPR001538" 13.0687956786872 0.142857142857143 1.86697081124103
"IPR014759" 13.0147117063023 0.05 0.650735585315115
"IPR018829" 17.6691178154179 0.2 3.53382356308359
"IPR013818" 13.4882049844657 0.0476190476190476 0.642295475450746
"IPR006207" 12.6263289201927 0.0625 0.789145557512044
"IPR009001" 10.4119895202731 0.0416666666666667 0.433832896678048
"IPR001433" 10.1964362905855 0.0277777777777778 0.283234341405152
"IPR014877" 14.7773062477649 0.142857142857143 2.1110437496807
"IPR021648" 15.3983831509026 0.111111111111111 1.7109314612114
"IPR006602" 13.3651695360276 0.166666666666667 2.22752825600461
"IPR002225" 13.6567623727229 0.142857142857143 1.95096605324613
"IPR005130" 11.8408794094773 0.1 1.18408794094773
"IPR009581" 16.1893746267513 0.2 3.23787492535026
"IPR012818" 13.8674465318639 0.2 2.77348930637278
"IPR007667" 13.5832129603243 0.125 1.69790162004054
"IPR019457" 17.483105829808 1 17.483105829808
"IPR006114" 12.0767293587142 0.2 2.41534587174283
"IPR000032" 9.89288099306104 0.0833333333333333 0.824406749421753
"IPR013606" 13.3003110281146 0.0666666666666667 0.886687401874309
"IPR025201" 13.5615527887748 0.0625 0.847597049298426
"IPR008638" 11.8848731916684 0.142857142857143 1.6978390273812
"IPR004124" 15.3685238622095 0.166666666666667 2.56142064370158
